RID,rname,cuisine
621,Hotel Polo Towers,"Indian,Chinese"
622,The Food Villa,Chinese
623,New Royal Veg,"Indian,Chinese"
624,HUNGRY HEAD CAFE,"Snacks,Beverages"
625,Momos 20,Indian
626,Tihar Flavours of Jail,"Indian,Chinese"
627,MOU RESTAURANT & HOTEL,"North Indian,Chinese"
628,KURKUMA Restuarant & Cafe,"Arabian,Chinese"
629,MOMO SALE (REPO),"Chinese,Biryani"
630,Ginger,"Chinese,Kebabs"
631,STEAMIN MUGS CAFE & RESTAURANT,"North Indian,Chinese"
632,Maa Bhagawati Bhoj,"Indian,Chinese"
633,Roasted Beans Cafe,"Continental,Pizzas"
634,Have Break Momo Stall,Chinese
635,Aap Ki Rasoi,"Indian,Chinese"
636,GOLDEN CAFEN AND RESTURA,"Chinese,Indian"
637,RAMKRISHNA HOTEL AND RESTAURANT,"Indian,Biryani"
638,WOW KITCHEN,"Snacks,Chinese"
639,Ajanta Hotel,"Thalis,North Indian"
640,Cheers restaurant,"Chinese,Indian"
641,OXYFEED RESTAURANT,"Biryani,Indian"
642,Nirmala Hotel & Restaurant,"North Indian,Chinese"
643,Bong Spice,"Indian,Fast Food"
644,GraviTEA,"Indian,Chinese"
645,Roni Punjabi Dhaba,North Indian
646,Bhagat Halwai (Dayal Bagh),"Chinese,North Indian"
647,Mama Chicken Mama Franky House,"Chinese,North Indian"
648,Om Restaurant,North Indian
649,Bhagat Halwai & Sons - Shahganj,"South Indian,North Indian"
650,Deep Corner,Desserts
651,Pankhuri Restaurant,"Chinese,South Indian"
652,Bhagat Halwai - Nehru Nagar (Civil Lines),"Sweets,South Indian"
653,Shri ram chat and fast food corner,Street Food
654,Desi Masala,North Indian
655,La Pino'z Pizza,"Pizzas,Fast Food"
656,The Manoj Restaurant,"South Indian,North Indian"
657,Labbaik Chicken Corner,North Indian
658,New Pizza King,"Pizzas,Italian"
659,Famous Restaurant,"South Indian,Chinese"
660,GMB - Gopika Sweets & Restaurant,"Sweets,North Indian"
661,HARI PAN BHANDAR,Pan-Asian
662,Pushpak Misthan Bhandar,"Sweets,Street Food"
663,Kanak Misthan Bhandar,"Snacks,Fast Food"
664,Chimmanlal Poori Wale,"Desserts,North Indian"
665,Deviram Royal Restaurant,"North Indian,Chinese"
666,Shawarma n rolls,"Arabian,Snacks"
667,GMB Sweets,"Sweets,South Indian"
668,kathi express,"Snacks,Biryani"
669,Chinese Food Express,Chinese
670,Jenith Fast Food,"Fast Food,North Indian"
671,FNP Cakes n More,Desserts
672,Biryani & Kebab By Zahid Foods,"North Indian,Biryani"
673,food plus,Bakery
674,Mr Rice Box,"Indian,Chinese"
675,Shan-E-Hind,North Indian
676,VISHAL VARUN BAKERS,"Bakery,Pizzas"
677,Chimmanlal Puri Wale (Since -1840 - Original),North Indian
678,McDonald's,American
679,Shri Shyam Ji Shakahari Bhojanalaya,North Indian
680,Cake House,"Bakery,Desserts"
681,Pizza Hut,Pizzas
682,Marwari Rasoi by Hotel Marwari,"North Indian,Indian"
683,Ghar Ka Swad (By Papa Ji's),Indian
684,Agra Chaat House,"Street Food,Snacks"
685,Kapoor's Kitchen,"Chinese,Biryani"
686,Rasala Restaurant,North Indian
687,FOOD ADDA,North Indian
688,Satkar Pastries,"Desserts,Italian"
689,Agarwal Food Court,"North Indian,South Indian"
690,GOYAL CAKES & BAKES,"Bakery,Desserts"
691,Panchhi Petha,Desserts
692,Chaumos,"Chinese,Snacks"
693,pizza cave,Pizzas
694,Cake Wala,Bakery
695,Sai food hub,Bakery
696,THE SHAKER'S SISE,"Beverages,Waffle"
697,Lakshmi Vilas Restaurant,South Indian
698,The Greener Side,"Continental,Desserts"
699,Cafe Coffee Day,"Beverages,Snacks"
700,Lucknowi zaika,"North Indian,Mughlai"
701,chicken house,"Indian,Biryani"
702,Bhagwaan Store,"Bakery,Beverages"
703,Zig Zag,"Indian,Chinese"
704,Shimla Bakers,"Bakery,Desserts"
705,Bhawna Sweets,"Sweets,Snacks"
706,THE TINY BAKERY,"Bakery,Pizzas"
707,Bijee's kitchen,"North Indian,Indian"
708,Awadhi Foods,North Indian
709,Domino's Pizza,Pizzas
710,Bercos - If you love chinese,"Chinese,Thai"
711,AAVYA HOME FOOD,Snacks
712,Aahar,"North Indian,South Indian"
713,The Belgian Waffle Co.,"Desserts,Beverages"
714,Delhi 6,North Indian
715,STAR ULTIMATE PIZZA,"Pizzas,Snacks"
716,Guru Kripa Yadav Dhaba,"North Indian,Indian"
717,Sips and Bites,"North Indian,Chinese"
718,Banarsi Pan,Desserts
719,Raj Rasoi Sweets & Restaurant,"South Indian,North Indian"
720,Shri Anand Sakahari Bhojan,North Indian
721,Capri Restaurant,"North Indian,Chinese"
722,Jain pan bhandar,Paan
723,Manohar Lal Daulat Ram Garg( Gazak Wale),Desserts
724,Bun Maska,Indian
725,Yadav Dhaba Purana,North Indian
726,Lal Tadka Restaurant,North Indian
727,Anand hi anand,Fast Food
728,Ravi Fast Food,South Indian
729,Shubh Anand Hi Anand Bhojnalaya,North Indian
730,KHA-LO,"Italian,Beverages"
731,HUNGER BROTHERS,"Fast Food,Italian"
732,SWAD,"Fast Food,Snacks"
733,HUNGER BROTHER,"Fast Food,Italian-American"
734,Jain Restaurant,"North Indian,South Indian"
735,Ashoka Bar,North Indian
736,Sargra Online Cake Delivery,Bakery
737,ROLLS CAVALRY,Snacks
738,Nikku's Bakery,Bakery
739,Urban Kitchen,"Fast Food,American"
740,Biryani By Kilo,"Biryani,Mughlai"
741,Brijbhog Mishthan Bhandar,"Sweets,Street Food"
742,New Moon Light Restaurant,North Indian
743,Yadav Dhaba,North Indian
744,Chopstix,Chinese
745,Brown Castle/ Divine Hospitality,"Indian,South Indian"
746,Shri Bankey Bihari Ji Fast Food Corner,"North Indian,Thalis"
747,Chainess,"Beverages,Fast Food"
748,Fresh snacks cafe,"Cafe,Beverages"
749,Tealogy,Beverages
750,Wok to Fork,"Chinese,Fast Food"
751,Punjabi Chulha,"North Indian,Punjabi"
752,Le Vera Pizza,Pizzas
753,Pablo Premium Kitchen,"Indian,Chinese"
754,Made In Punjab,"North Indian,Tandoor"
755,Chanchal Dhaba,North Indian
756,DESI CAFE AGRA,"North Indian,Tandoor"
757,Masala Handi,"North Indian,Chinese"
758,Kanha Coffee Corner,"Beverages,Fast Food"
759,Pizza Delight Cafe,"Pizzas,Beverages"
760,MKOP,"Desserts,Pizzas"
761,Live Shack,"Lebanese,Chinese"
762,Tirupati's Dosa Factory,South Indian
763,Kings Kulfi & Ice Cream,"Desserts,Ice Cream"
764,THE SHAKER'S SIDE,"Beverages,Snacks"
765,T Bar,"Beverages,Fast Food"
766,Marko's Pizza Cafe,"Pizzas,Beverages"
767,Amritsari Tandoori Kulcha Wa Choor Choor Naan,"North Indian,Indian"
768,Mark s Cafe,"Chinese,Pizzas"
769,Medley Bakers,Bakery
770,Cafe G - Holiday Inn Agra,"Italian,Indian"
771,Tandoori Bites,"Snacks,North Indian"
772,THE COFFEE CRUSH,"Beverages,Waffle"
773,Samriddhi,"Fast Food,South Indian"
774,KAFENIO,"Italian-American,Chinese"
775,Dosa Factory,"South Indian,Chinese"
776,NIC Natural Ice Creams,"Ice Cream,Desserts"
777,The Momo Heaven,"Chinese,Fast Food"
778,Amritsari Kulcha Junction,"North Indian,Chinese"
779,What the food,"North Indian,Chinese"
780,YADAV WELCOME DHABA,"Snacks,North Indian"
781,Atlantic Foods,"Desserts,Bakery"
782,Giani Ice Cream,Desserts
783,KHAN SAHAB RESTAURANT,"Indian,Tandoor"
784,DEEDAR E TAJ FOOD COURT,"Indian,Arabian"
785,Gupta Bakery & Sweet Shop,Bakery
786,European Bakery,"Bakery,Desserts"
787,Barbeque Nation,"North Indian,Barbecue"
788,Juxpux,"Chinese,Desserts"
789,UBQ by Barbeque Nation,"North Indian,Barbecue"
790,Kiskey Whiskey,"Indian,Mexican"
791,The Big Bun,"Bakery,Pizzas"
792,Bholenath Ice-cream Kulfi,Ice Cream
793,Tea'se Me Cafe,"Chinese,North Indian"
794,Fruck,"Chinese,North Indian"
795,Bikanervala,"North Indian,Chinese"
796,SHAKE IT BABY,"Italian,Beverages"
797,Grameen Kulfi,"Ice Cream,Desserts"
798,3Cs cafe,"Fast Food,Beverages"
799,The momo kitchen,Chinese
800,Sardarji Da Dhaba,"North Indian,Mughlai"
801,Deviram Sweets,"Sweets,Snacks"
802,Balaji Ice-cream and Kulfi,"Chinese,Fast Food"
803,Barbeque Pizza Junction,Pizzas
804,Qureshi Mutton Biryani,"Indian,Mughlai"
805,Just pizza's,"Pizzas,Burgers"
806,Whitebud,"Bakery,Indian"
807,Om Sai Lassi And Juice Corner,Biryani
808,Djlecious Cake Shop,Bakery
809,Momo hub,"Fast Food,North Indian"
810,MANDAL JI RESTURANT,"Fast Food,Pastas"
811,Mahavir Ice-cream,"Chinese,Pastas"
812,Mahavir Ice-cream & Kulfi,"Chinese,Fast Food"
813,Udupi Brindavan,South Indian
814,Burger 27,"Desserts,Chinese"
815,Guru Restaurant,"North Indian,Chinese"
816,The Pastry Shop,"Bakery,Pizzas"
817,Hari Chatni,"North Indian,Chinese"
818,New Agra Fast Food & Restaurant,"South Indian,Chinese"
819,PIZZA PASTA DAY,"Pizzas,Italian"
820,Momozilla,Chinese
821,Eatco,"North Indian,Fast Food"
822,Faasos - Wraps & Rolls,"Fast Food,Snacks"
823,Havmor Havfunn ice cream,"Ice Cream,Ice Cream Cakes"
824,Hippo's Krates Cafe,"Chinese,Fast Food"
825,Subway,"Healthy Food,Salads"
826,DIVYA SWEETS AND RESTAURANT,"Sweets,South Indian"
827,Mahi Food Court,Snacks
828,Vaishnavi  food,Beverages
829,MARK'S CAFE,"Bakery,Fast Food"
830,hind nawabi veg end non veg dhava,"Indian,Tandoor"
831,Greens and Beans,Beverages
832,Bakingo,"Bakery,Desserts"
833,BRIE,"Chinese,Italian"
834,Behrouz Biryani,"Biryani,Mughlai"
835,The Briston Kitchen,"North Indian,Chinese"
836,The Meal Box,"North Indian,Chinese"
837,Crazy Straw,Beverages
838,KNIFE DIP'IN,"Desserts,American"
839,NAVTARA RESTAURANT,"South Indian,Thalis"
840,Agra Fast Food and Restaurant,"North Indian,South Indian"
841,Bhagwati Dhaba & Thali,North Indian
842,Break a bread,"Fast Food,Chinese"
843,Oven Story Pizza,Pizzas
844,DK's PARADISE in-house CAFETERIA,"North Indian,Chinese"
845,PIZZA DAY,"Pizzas,American"
846,Anant Restaurant,South Indian
847,Cake & Bake,Bakery
848,The Chapter Kitchen,"North Indian,Snacks"
849,KFC,"American,Snacks"
850,Cake Culture,Bakery
851,The Falak Restaurant,"Chinese,South Indian"
852,Chetan Fast Food Corner,"North Indian,Chinese"
853,Kakkar's Kitchen,"Indian,Chinese"
854,Spiced Brew,"Beverages,Chinese"
855,Homey meal preetis kitchen,"North Indian,Chinese"
856,Karchi,"North Indian,Mughlai"
857,The Burritos Wrap and Rolls,Snacks
858,Sweet Truth - Cake and Desserts,"Bakery,Desserts"
859,Jeetu Dhaba,North Indian
860,Tongue Twister,"Chinese,Fast Food"
861,The Biryani Life,"Biryani,Hyderabadi"
862,Agra Biryani Hotspot,"Biryani,Kebabs"
863,MASALA BISTRO,"Chinese,Indian"
864,The Good Bowl,"North Indian,Punjabi"
865,The Fresh Pizza,"Beverages,Italian"
866,Bhagwan Corner,Bakery
867,Farzi Rasoi,"North Indian,Chinese"
868,New 24 Seven Restaurant Cafe,"Continental,Chinese"
869,Pure Veg Meals by Lunchbox,"North Indian,Desserts"
870,Chow's Kitchen,"Chinese,Thai"
871,Mehfil Biryani by Zakir Khan,"Biryani,Mughlai"
872,Flavours by ITC Hotels,"Indian,Continental"
873,Bikaner Express,"North Indian,Italian"
874,7th HEAVEN,"Chinese,North Indian"
875,Chizza & pizza corner,"Burgers,Fast Food"
876,"TOMAR,S HYGIENE KITCHEN","Indian,Chinese"
877,Sip N Bite,"Chinese,Indian"
878,Drunken Monkey,Beverages
879,MomoCult,Chinese
880,Achman Foods (Bhagwan Talkies),"North Indian,South Indian"
881,LunchBox - Meals and Thalis,"North Indian,Punjabi"
882,Firangi Bake,"Italian,Mexican"
883,WOW FOod Point,"Fast Food,Chinese"
884,Bansal Sweets Pede Wale,Sweets
885,Abhiram & Son's,"Bakery,Chinese"
886,DHABA 59,"North Indian,Chinese"
887,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream
888,B & B Restro,"Indian,Continental"
889,KINGS COFFEE CLUB,"Fast Food,Beverages"
890,Manoj Dhaba,North Indian
891,Rock N Roll Wala,"Beverages,Pizzas"
892,Bus Wala Vada Pav No.1,"South Indian,North Indian"
893,THE MASTER CHEF RESTAURANT,"Chinese,North Indian"
894,ROYAL ROLLS,Italian
895,Golden China Restaurant,"Chinese,North Indian"
896,Spicy Cottage,"Beverages,Chinese"
897,Spice hut,Indian
898,FANTASTIC FOUR,North Indian
899,Gourmet Couch By ITC Mughal,"North Indian,Mughlai"
900,The Hunger of universe,"North Indian,Bakery"
901,Faasos' Signature Wraps & Rolls,"Snacks,Beverages"
902,The Hippie Cafe,"Snacks,Fast Food"
903,CAKE GOLDEN,"Bakery,Desserts"
904,CAKE SHOWROOM,Bakery
905,Cake Kohinoor,Bakery
906,Cake Sunshine,Bakery
907,Bhagwan cake house,Bakery
908,The Perfect Bun,"Beverages,Pizzas"
909,Jain Confectionery,"Sweets,Street Food"
910,Iceeno,"Fast Food,Pizzas"
911,Food Stock Exchange,"Chinese,North Indian"
912,Spicy Wonder,"North Indian,Chinese"
913,Pind Balluchi,"North Indian,Mughlai"
914,Marleys The Milkshake,Beverages
915,Jain Sweet,Desserts
916,Shere Punjab Hotel & Restaurant- kamla nagar,"Chinese,North Indian"
917,The Royal Biryani (By Jahanpanah),Biryani
918,THE UNTOLD STORIES,"Italian,Chinese"
919,Hungernomia,Italian
920,Jalesar Chat Bhandar,"Chaat,Snacks"
921,Guru Mahima Shakahari Bhojnalya,North Indian
922,First Floor Cafe,Beverages
923,Shri Thakur Ji Misthan Bhandar,"Desserts,Sweets"
924,Sai Food plaza,"Bakery,Pizzas"
925,Chennai Express,"North Indian,Chinese"
926,Mumbai Chingo Chinese,"Chinese,Pastas"
927,Little Maggi Point,"Snacks,Chinese"
928,Chicken Food Planet,"Chinese,Indian"
929,Bhagwan cake hub,Bakery
930,The Original Milkshake & Food,Beverages
931,Shri Bankey Bihari Misthan Bhandar,"Chinese,South Indian"
932,shiv bhojhnalaya,North Indian
933,BOX 80,"North Indian,Indian"
934,The Milkshake and Food Factory,"Beverages,Desserts"
935,AELICIOUS HUT,"Beverages,Snacks"
936,Samosewala,"North Indian,Snacks"
937,Chai Samosa,"North Indian,Snacks"
938,Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts,Ice Cream"
939,Hind Bhojnalya,North Indian
940,AMRITSARI ROYAL PARATHA,"North Indian,Snacks"
941,Navratan Fast Food & Restaurant,"South Indian,North Indian"
942,Magic of Spices,"Indian,North Indian"
943,mann ki chai,Beverages
944,Uncle Maggi Point,Beverages
945,Deviram Food Circle,"Sweets,Snacks"
946,Zandoor,"Tandoor,Indian"
947,FAUZI DHABA,"North Indian,Biryani"
948,Aashi Global Retails,Desserts
949,Hotel Taj heritage,"North Eastern,Chinese"
950,City Of Meals,"Indian,Snacks"
951,MC Burger Hut,Burgers
952,Sai food corner,Bakery
953,Bhagwan cake corner,Indian
954,Hotel divine,"North Indian,Chinese"
955,Tadka Rasoi,"North Indian,Thalis"
956,The rice bowl,Biryani
957,AGRA TIKKA'S  & KEBAB'S,"Kebabs,North Indian"
958,Chaap Waale Veer Ji,"North Indian,Snacks"
959,ATITHI RESTAURANT,"Indian,South Indian"
960,Thaliwala Pure Veg Restaurant,"Thalis,North Indian"
961,Mama matan chicken bhandar,"Indian,North Indian"
962,INDIAN RASOI,"Burgers,Pastas"
963,Jain Cake Wakers,Bakery
964,Shiva Bhojnalaya,"North Indian,Indian"
965,Parathawala.In,North Indian
966,Hot Pizza,"Pizzas,Chinese"
967,Grill INN,Italian
968,Om Sai Ram Bhojnalaya,"North Indian,Chinese"
969,Daddy Plz,Pizzas
970,Daddy Plz Dosa,"South Indian,Beverages"
971,Momories,"Chinese,Beverages"
972,Vada pav king - dayalbagh,"Indian,Fast Food"
973,Why Not Momos,Chinese
974,Chef Signature - Kabab Factory,"Kebabs,North Indian"
975,Zayka the food hub,"Italian,Chinese"
976,Burger Express,"Fast Food,Pastas"
977,Yo Yo Foods,"Chinese,South Indian"
978,The Momo corner,"Chinese,Beverages"
979,The Momos king,"Street Food,Snacks"
980,SHREE KRISHNA RESTAURANT,"North Indian,Fast Food"
981,Yum Yum Vada Pav No.1,North Indian
982,Chef Signature : The Food Lovers,"Chinese,North Indian"
983,Agra delight and mocktail bar,"Snacks,Fast Food"
984,Chilly Chatkara,"Chinese,North Indian"
985,Thor Party world,"North Indian,Snacks"
986,Bhawna Palace Hotel,"Chinese,South Indian"
987,Daddy Plz Pizza,Pizzas
988,Milkshake & Food Court 24*7,Beverages
989,The Real Momo's Roll's,Chinese
990,Momo Cartel,"Chinese,Pastas"
991,Turban Singh,"Indian,North Indian"
992,Anna Samrat Restaurant,"South Indian,North Indian"
993,Go Foodie,Fast Food
994,Curry Patta,South Indian
995,Shri Mangalam Dhabha,North Indian
996,Sweet Bengal,"Bengali,Sweets"
997,Mithaiwalaz,Sweets
998,Punjab Tadka Dhaba,North Indian
999,Good Indian Home Food,"North Indian,Chinese"
1000,muglhai chatkara,"Mughlai,Indian"
1001,We desi,"Fast Food,Pizzas"
1002,Jumbo Sandwich,Pizzas
1003,Agarwal chaat bhandar,"Snacks,Chaat"
1004,Jain Bhelpuri,"Chaat,Fast Food"
1005,Double Tree by Hilton,"North Indian,Kebabs"
1006,TANDOORI NIGHT,"Tandoor,Indian"
1007,Zam Zam Chicken Corner,"Mughlai,North Indian"
1008,Hotel Grand Father,"North Indian,Beverages"
1009,Unavu South Indian,"South Indian,Snacks"
1010,Celebration Restaurant,"North Indian,Chinese"
1011,Fakira,"Chinese,North Indian"
1012,Shree Dauji sweets and restaurant,North Indian
1013,Royal Crunchy Chicken,"Snacks,Burgers"
1014,Sher-e-punjab dhabha,"North Indian,Beverages"
1015,The best diet corner,"Indian,Beverages"
1016,NH 2 DHABA,"North Indian,Chinese"
1017,NANDA FOOD,"American,Fast Food"
1018,Chakhna.in,"Chinese,Street Food"
1019,The tasty town,"Indian,Thalis"
1020,HEALTHY BITEZ,"Indian,Beverages"
1021,FIRE CAFE CHINESE FOOD,"Chinese,Italian-American"
1022,Oasis - Radisson Hotel Agra,"Continental,Indian"
1023,Goyal food court,"North Indian,South Indian"
1024,MoMoS ADDA,"Chinese,Fast Food"
1025,Bread N Mime Cafe,"Beverages,Fast Food"
1026,Chetan's Kitchen,"North Indian,Snacks"
1027,Hotel Taj Heights,"Snacks,Chinese"
1028,FOOD POINT,"Chinese,Snacks"
1029,Mother India,Bakery
1030,Hungry Head,Fast Food
1031,The Kitchen Point,"Snacks,Fast Food"
1032,Unplugged Courtyard,"Indian,Chinese"
1033,Laal Chutney,"North Indian,Chinese"
1034,Uphaar,Maharashtrian
1035,Chaat Chaupati,"Chaat,South Indian"
1036,New Family Pizza,"Pizzas,Burgers"
1037,Tiwari Bombay Food Court,"South Indian,Snacks"
1038,The Milkshake & Food Market 24*7,"Beverages,Desserts"
1039,Tanya cafe,North Indian
1040,Tandoori Island,"Tandoor,North Indian"
1041,MS FAST FOODS,Chinese
1042,Goli Vada Pav No. 1,"Maharashtrian,North Indian"
1043,MoMo Cafe - Courtyard By Marriott,"Indian,Asian"
1044,Pandit Bhojnalaya,North Indian
1045,Romo's Junction,"Chinese,North Indian"
1046,Shivam tiffin service,North Indian
1047,Burger Xpress,"Snacks,Beverages"
1048,Moonlight - Punjabi Restaurant,"North Indian,South Indian"
1049,ROMOS Bistro,"Chinese,Indian"
1050,Shri Ganesh Dosa Corner,"South Indian,Chinese"
1051,Vada pav king,"Snacks,Fast Food"
1052,Shree Bankey Bihari Misthan Bhandar,Desserts
1053,the burger.com,"Burgers,Fast Food"
1054,Mitra Mandali,"Chinese,Fast Food"
1055,Sethis BarBeQue,North Indian
1056,CHICKEN BIRYANI,North Indian
1057,Roofmates,"Indian,Continental"
1058,The momos king,"Snacks,Fast Food"
1059,Brijwasi Sweet House,"Desserts,Sweets"
1060,Vada pav no 1,"Street Food,Fast Food"
1061,DAZZIO KITCHEN,"Indian,Chinese"
1062,Rola Wala,Chinese
1063,Hungry Dragon,Pizzas
1064,Uddta punjaab,"North Indian,Biryani"
1065,La Black Beurre Cafe,Fast Food
1066,DAAR JI MALAI CHAAP,"North Indian,Snacks"
1067,The Sky Restaurant,"Indian,Beverages"
1068,Vanakkam,"South Indian,Chinese"
1069,Choco Rocks,"Desserts,Beverages"
1070,Sky Train Restaurant,"North Indian,Chinese"
1071,D-JAIL HOUSE,"North Indian,South Indian"
1072,Urban Vada Pav,"Fast Food,Snacks"
1073,Pihu Fast Food Corner,Beverages
1074,BIRA JI CHAAP,"North Indian,Mughlai"
1075,First Chai,Street Food
1076,Om Sai Food Court,"Snacks,Street Food"
1077,Paris Bakery,"Bakery,Desserts"
1078,SETHI'S SHAKES& MORE,"Beverages,Fast Food"
1079,Divyanshi fast food center,"Pizzas,Pastas"
1080,The MasterChef Restaurant,"North Indian,Chinese"
1081,UP 80,"Chinese,North Indian"
1082,Banshi Petha Store,"Sweets,Snacks"
1083,Dehat City,"Chinese,North Indian"
1084,Moolchand  Paratha,North Indian
1085,Rasoi Lajawab,"North Indian,Snacks"
1086,JEEWARAM RESTAURANT,"Indian,Chinese"
1087,Gopaldas parathe wale,"Snacks,Beverages"
1088,Wat-A-Paratha India Ka Paratha,"North Indian,Indian"
1089,Agra Famous Petha,"Sweets,Beverages"
1090,Chatora Station Restaurant,"North Indian,Mughlai"
1091,Food Lovers,Indian
1092,Hunger toast,"Fast Food,Snacks"
1093,Pracheen Petha,Desserts
1094,baseraa dhaba,"North Indian,Snacks"
1095,Ram Babu Parathe Wale,North Indian
1096,Chulha India (Swad Ghar Jaisa),"North Indian,Indian"
1097,Hot Snackpot,Fast Food
1098,Ghar Ka Egg Corner,"North Indian,Chinese"
1099,Nandani Red Crystal Restaurant,"Beverages,Chinese"
1100,Kavya Bakery,"Bakery,Snacks"
1101,M.A.D By Tomato'S,"Indian,Chinese"
1102,Tea Post,Fast Food
1103,Shanghai Chicken Lolipops,"Chinese,Fast Food"
1104,Ministry Of Momos,Chinese
1105,Sizzling - The Cake Room,Desserts
1106,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream
1107,Ninjin,"Thai,Chinese"
1108,Soup Fiesta,Chinese
1109,360 Degree Pizzateria,Pizzas
1110,Thali Central,"Thalis,Fast Food"
1111,Shreejikrupa,"Snacks,Beverages"
1112,The Baker's Dozen,"Bakery,Desserts"
1113,Masala Grill,"Fast Food,Pizzas"
1114,Vimal Dairy Ice Cream,Ice Cream
1115,JS pizza,Pizzas
1116,Jenny's Brownies,"Bakery,Desserts"
1117,China In A Box,Chinese
1118,Farki Milk Mart ( Drive In ),"Ice Cream,Desserts"
1119,Jay Kalyan Poha Center,Snacks
1120,Taco Bell,Mexican
1121,Rajlaxmi Cake Shop,"Bakery,Continental"
1122,Baba Egg Zone,"Indian,North Indian"
1123,The Shake.Com,Beverages
1124,SHIVANI'S KITCHEN,"Chinese,North Indian"
1125,Kamla,"Street Food,Fast Food"
1126,Arpit Ragada Pettice,"Chaat,Snacks"
1127,Baap No Bagicho,"North Indian,Tandoor"
1128,Baskin Robbins,"Desserts,Ice Cream"
1129,Sankalp,"South Indian,Beverages"
1130,William John's pizza,"Italian,Pizzas"
1131,Yummy Food Corner,"Chinese,Biryani"
1132,Gajanand Pauva House,"Street Food,Snacks"
1133,Tokyo Town,"Italian,Desserts"
1134,Shreeji Farali Center,"Street Food,Indian"
1135,Maharaj Sandwich,"Fast Food,Street Food"
1136,Cabana,"Continental,Chinese"
1137,Delhi Belly-Bodakdev,"Chinese,Snacks"
1138,Live Cake Company,Bakery
1139,Ab Chai Pe Charcha,"Snacks,Beverages"
1140,The Cafe Baraco - The Restro Cafe,"Beverages,Pizzas"
1141,Golden Brown,Desserts
1142,Rotti Shotti,"North Indian,Tandoor"
1143,V Cafe - Meals By PVR,"Pizzas,Snacks"
1144,Cake Jsk Live Cake,Bakery
1145,Toom Yum,"Indian,Seafood"
